Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,75,6,Some Random Commen with Id 0
1,0,2,133,0,Some Random Commen with Id 1
2,0,2,144,8,Some Random Commen with Id 2
3,0,2,152,4,Some Random Commen with Id 3
4,0,2,41,3,Some Random Commen with Id 4
5,0,2,131,7,Some Random Commen with Id 5
6,0,2,148,2,Some Random Commen with Id 6
7,0,2,96,1,Some Random Commen with Id 7
8,0,2,78,4,Some Random Commen with Id 8
9,1,0,61,1,Some Random Commen with Id 9
10,1,0,102,0,Some Random Commen with Id 10
11,1,0,188,6,Some Random Commen with Id 11
12,1,0,46,3,Some Random Commen with Id 12
13,1,0,103,1,Some Random Commen with Id 13
14,2,1,110,9,Some Random Commen with Id 14
15,2,1,31,7,Some Random Commen with Id 15
16,2,1,175,0,Some Random Commen with Id 16
17,3,4,196,3,Some Random Commen with Id 17
18,3,4,180,7,Some Random Commen with Id 18
19,3,4,59,7,Some Random Commen with Id 19
20,3,4,136,6,Some Random Commen with Id 20
21,3,4,28,3,Some Random Commen with Id 21
22,3,4,101,9,Some Random Commen with Id 22
23,3,4,101,8,Some Random Commen with Id 23
24,3,4,182,0,Some Random Commen with Id 24
25,3,4,26,6,Some Random Commen with Id 25
26,4,9,128,2,Some Random Commen with Id 26
27,4,9,29,8,Some Random Commen with Id 27
28,4,9,40,5,Some Random Commen with Id 28
29,4,9,4,8,Some Random Commen with Id 29
30,4,9,177,1,Some Random Commen with Id 30
31,4,9,40,3,Some Random Commen with Id 31
32,5,2,10,6,Some Random Commen with Id 32
33,5,2,127,4,Some Random Commen with Id 33
34,5,2,85,4,Some Random Commen with Id 34
35,5,2,115,1,Some Random Commen with Id 35
36,6,5,114,4,Some Random Commen with Id 36
37,6,5,36,8,Some Random Commen with Id 37
38,6,5,169,3,Some Random Commen with Id 38
39,6,5,91,8,Some Random Commen with Id 39
40,6,5,127,4,Some Random Commen with Id 40
41,6,5,14,7,Some Random Commen with Id 41
42,6,5,20,8,Some Random Commen with Id 42
43,6,5,73,1,Some Random Commen with Id 43
44,6,5,162,1,Some Random Commen with Id 44
45,7,2,187,5,Some Random Commen with Id 45
46,7,2,184,4,Some Random Commen with Id 46
47,7,2,129,7,Some Random Commen with Id 47
48,8,1,141,6,Some Random Commen with Id 48
49,8,1,151,5,Some Random Commen with Id 49
50,9,6,12,5,Some Random Commen with Id 50
51,9,6,157,3,Some Random Commen with Id 51
52,9,6,39,6,Some Random Commen with Id 52
53,9,6,15,5,Some Random Commen with Id 53
54,9,6,34,1,Some Random Commen with Id 54
55,9,6,134,9,Some Random Commen with Id 55
56,9,6,25,9,Some Random Commen with Id 56
57,9,6,141,5,Some Random Commen with Id 57
58,10,2,79,1,Some Random Commen with Id 58
59,10,2,123,6,Some Random Commen with Id 59
60,10,2,192,9,Some Random Commen with Id 60
61,10,2,46,6,Some Random Commen with Id 61
62,10,2,24,7,Some Random Commen with Id 62
63,10,2,115,5,Some Random Commen with Id 63
64,11,0,73,5,Some Random Commen with Id 64
65,12,1,57,0,Some Random Commen with Id 65
66,12,1,21,0,Some Random Commen with Id 66
67,12,1,172,9,Some Random Commen with Id 67
68,12,1,75,7,Some Random Commen with Id 68
69,12,1,161,2,Some Random Commen with Id 69
70,12,1,39,4,Some Random Commen with Id 70
71,12,1,35,7,Some Random Commen with Id 71
72,12,1,191,0,Some Random Commen with Id 72
73,13,8,111,8,Some Random Commen with Id 73
74,13,8,50,8,Some Random Commen with Id 74
75,13,8,7,1,Some Random Commen with Id 75
76,13,8,128,4,Some Random Commen with Id 76
77,13,8,21,4,Some Random Commen with Id 77
78,14,9,102,0,Some Random Commen with Id 78
79,14,9,46,8,Some Random Commen with Id 79
80,14,9,37,9,Some Random Commen with Id 80
81,14,9,90,7,Some Random Commen with Id 81
82,14,9,46,2,Some Random Commen with Id 82
83,14,9,20,4,Some Random Commen with Id 83
84,14,9,100,1,Some Random Commen with Id 84
85,15,1,158,8,Some Random Commen with Id 85
86,15,1,110,3,Some Random Commen with Id 86
87,15,1,169,8,Some Random Commen with Id 87
88,15,1,179,8,Some Random Commen with Id 88
89,15,1,15,7,Some Random Commen with Id 89
90,15,1,170,4,Some Random Commen with Id 90
91,15,1,13,9,Some Random Commen with Id 91
92,15,1,127,2,Some Random Commen with Id 92
93,15,1,34,1,Some Random Commen with Id 93
94,17,5,135,8,Some Random Commen with Id 94
95,17,5,147,5,Some Random Commen with Id 95
96,17,5,15,9,Some Random Commen with Id 96
97,17,5,16,6,Some Random Commen with Id 97
98,17,5,79,1,Some Random Commen with Id 98
99,17,5,33,7,Some Random Commen with Id 99
100,17,5,118,2,Some Random Commen with Id 100
101,18,7,69,3,Some Random Commen with Id 101
102,18,7,131,2,Some Random Commen with Id 102
103,18,7,167,1,Some Random Commen with Id 103
104,18,7,13,3,Some Random Commen with Id 104
105,18,7,95,3,Some Random Commen with Id 105
106,18,7,163,8,Some Random Commen with Id 106
107,18,7,128,6,Some Random Commen with Id 107
108,18,7,18,8,Some Random Commen with Id 108
109,19,3,183,1,Some Random Commen with Id 109
110,20,4,158,9,Some Random Commen with Id 110
111,20,4,10,6,Some Random Commen with Id 111
112,20,4,34,4,Some Random Commen with Id 112
113,20,4,123,1,Some Random Commen with Id 113
114,20,4,105,8,Some Random Commen with Id 114
115,20,4,76,3,Some Random Commen with Id 115
116,20,4,127,8,Some Random Commen with Id 116
117,20,4,16,3,Some Random Commen with Id 117
118,20,4,155,5,Some Random Commen with Id 118
119,21,7,30,2,Some Random Commen with Id 119
120,21,7,141,1,Some Random Commen with Id 120
121,21,7,159,6,Some Random Commen with Id 121
122,22,2,156,4,Some Random Commen with Id 122
123,22,2,75,0,Some Random Commen with Id 123
124,22,2,60,4,Some Random Commen with Id 124
125,22,2,76,2,Some Random Commen with Id 125
126,22,2,87,3,Some Random Commen with Id 126
127,22,2,17,2,Some Random Commen with Id 127
128,22,2,166,8,Some Random Commen with Id 128
129,22,2,124,3,Some Random Commen with Id 129
130,22,2,95,2,Some Random Commen with Id 130
131,23,5,137,7,Some Random Commen with Id 131
132,23,5,45,3,Some Random Commen with Id 132
133,24,4,28,9,Some Random Commen with Id 133
134,24,4,142,4,Some Random Commen with Id 134
135,24,4,192,7,Some Random Commen with Id 135
136,24,4,80,7,Some Random Commen with Id 136
137,24,4,69,0,Some Random Commen with Id 137
138,24,4,156,8,Some Random Commen with Id 138
139,24,4,67,0,Some Random Commen with Id 139
140,25,7,187,1,Some Random Commen with Id 140
141,25,7,40,1,Some Random Commen with Id 141
142,27,8,20,9,Some Random Commen with Id 142
143,27,8,20,3,Some Random Commen with Id 143
144,27,8,43,2,Some Random Commen with Id 144
145,27,8,32,2,Some Random Commen with Id 145
146,27,8,82,8,Some Random Commen with Id 146
147,28,9,146,9,Some Random Commen with Id 147
148,28,9,135,7,Some Random Commen with Id 148
